timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/25 05:53:04.020, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.66, 62
2026/03/25 05:53:04.024, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 8.86, 38
2026/03/25 05:53:04.026, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.63, 33
2026/03/25 05:53:04.029, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.24, 34
2026/03/25 05:53:05.032, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.45, 62
2026/03/25 05:53:05.034, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 8.76, 38
2026/03/25 05:53:05.037, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.53, 33
2026/03/25 05:53:05.039, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.05, 34
2026/03/25 05:53:06.042, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.49, 61
2026/03/25 05:53:06.140, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 55.12, 39
2026/03/25 05:53:06.142, 2, NVIDIA GeForce GTX 1080 Ti, 3, 0, 3, 11264, 57.72, 34
2026/03/25 05:53:06.144, 3, NVIDIA GeForce GTX 1080 Ti, 4, 0, 3, 11264, 57.24, 34
2026/03/25 05:53:07.147, 0, NVIDIA GeForce GTX 1080 Ti, 46, 1, 10033, 11264, 69.05, 61
2026/03/25 05:53:07.149, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.14, 40
2026/03/25 05:53:07.154, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.14, 35
2026/03/25 05:53:07.156, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.53, 35
2026/03/25 05:53:08.162, 0, NVIDIA GeForce GTX 1080 Ti, 32, 1, 10035, 11264, 69.82, 61
